AuthorId,DisplayName,PaperCount,CitationCount
584,Gözde Özdikmenli-Demir,6,14
859,Gy. Tolmár,3,2
978,Ximena Faúndez,16,60
1139,Jennifer Putzi,4,7
1476,勲矢 手島,1,0
1611,純子 貝原,2,0
1799,Hossein Gholaman,2,280
1968,María Isabel Lorca Martín de Villodres,5,0
2255,Bin Liuy,3,26
2722,Susan Macicak,2,18
