Doi,author,AcknowName
10.1371/journal.pcbi.0010001,Hanah_Margalit,Aviv Regev
10.1371/journal.pcbi.0010001,Hanah_Margalit,Benjamin Gordon
10.1371/journal.pcbi.0010001,Hanah_Margalit,Dalit May
10.1371/journal.pcbi.0010001,Hanah_Margalit,Ernest Fraenkel
10.1371/journal.pcbi.0010001,Hanah_Margalit,Lena Nekludova
